kind,name,category,sub_category,implemented,tested,notes
tvm,RANDSEED,config,,false,false,
tvm,BALANCE,config,,false,false,
tvm,MYADDR,config,,false,false,
tvm,CONFIGROOT,config,,false,false,
tvm,MYCODE,config,,false,false,
tvm,INCOMINGVALUE,config,,false,false,
tvm,STORAGEFEES,config,,false,false,
tvm,PREVBLOCKSINFOTUPLE,config,,false,false,
tvm,UNPACKEDCONFIGTUPLE,config,,false,false,
tvm,DUEPAYMENT,config,,false,false,
tvm,CONFIGDICT,config,,false,false,
tvm,CONFIGPARAM,config,,false,false,
tvm,CONFIGOPTPARAM,config,,false,false,
tvm,PREVMCBLOCKS,config,,false,false,
tvm,PREVKEYBLOCK,config,,false,false,
tvm,PREVMCBLOCKS_100,config,,false,false,
tvm,GLOBALID,config,,false,false,
tvm,GETGASFEE,config,,false,false,
tvm,GETSTORAGEFEE,config,,false,false,
tvm,GETFORWARDFEE,config,,false,false,
tvm,GETPRECOMPILEDGAS,config,,false,false,
tvm,GETORIGINALFWDFEE,config,,false,false,
tvm,GETGASFEESIMPLE,config,,false,false,
tvm,GETFORWARDFEESIMPLE,config,,false,false,
tvm,GETGLOBVAR,globals,,false,false,
tvm,SETGLOBVAR,globals,,false,false,
tvm,RANDU256,prng,,false,false,
tvm,RAND,prng,,false,false,
tvm,SETRAND,prng,,false,false,
tvm,ADDRAND,prng,,false,false,
tvm,HASHCU,crypto,crypto_common,false,false,
tvm,HASHSU,crypto,crypto_common,false,false,
tvm,SHA256U,crypto,crypto_common,false,false,
tvm,CHKSIGNU,crypto,crypto_common,false,false,
tvm,CHKSIGNS,crypto,crypto_common,false,false,
tvm,ECRECOVER,crypto,crypto_common,false,false,
tvm,SECP256K1_XONLY_PUBKEY_TWEAK_ADD,crypto,crypto_common,false,false,
tvm,P256_CHKSIGNU,crypto,crypto_common,false,false,
tvm,P256_CHKSIGNS,crypto,crypto_common,false,false,
tvm,RIST255_FROMHASH,crypto,crypto_rist255,false,false,
tvm,RIST255_VALIDATE,crypto,crypto_rist255,false,false,
tvm,RIST255_ADD,crypto,crypto_rist255,false,false,
tvm,RIST255_SUB,crypto,crypto_rist255,false,false,
tvm,RIST255_MUL,crypto,crypto_rist255,false,false,
tvm,RIST255_MULBASE,crypto,crypto_rist255,false,false,
tvm,RIST255_PUSHL,crypto,crypto_rist255,false,false,
tvm,RIST255_QVALIDATE,crypto,crypto_rist255,false,false,
tvm,RIST255_QADD,crypto,crypto_rist255,false,false,
tvm,RIST255_QSUB,crypto,crypto_rist255,false,false,
tvm,RIST255_QMUL,crypto,crypto_rist255,false,false,
tvm,RIST255_QMULBASE,crypto,crypto_rist255,false,false,
tvm,BLS_VERIFY,crypto,crypto_bls,false,false,
tvm,BLS_AGGREGATE,crypto,crypto_bls,false,false,
tvm,BLS_FASTAGGREGATEVERIFY,crypto,crypto_bls,false,false,
tvm,BLS_AGGREGATEVERIFY,crypto,crypto_bls,false,false,
tvm,BLS_G1_ADD,crypto,crypto_bls,false,false,
tvm,BLS_G1_SUB,crypto,crypto_bls,false,false,
tvm,BLS_G1_NEG,crypto,crypto_bls,false,false,
tvm,BLS_G1_MUL,crypto,crypto_bls,false,false,
tvm,BLS_G1_MULTIEXP,crypto,crypto_bls,false,false,
tvm,BLS_G1_ZERO,crypto,crypto_bls,false,false,
tvm,BLS_MAP_TO_G1,crypto,crypto_bls,false,false,
tvm,BLS_G1_INGROUP,crypto,crypto_bls,false,false,
tvm,BLS_G1_ISZERO,crypto,crypto_bls,false,false,
tvm,BLS_G2_ADD,crypto,crypto_bls,false,false,
tvm,BLS_G2_SUB,crypto,crypto_bls,false,false,
tvm,BLS_G2_NEG,crypto,crypto_bls,false,false,
tvm,BLS_G2_MUL,crypto,crypto_bls,false,false,
tvm,BLS_G2_MULTIEXP,crypto,crypto_bls,false,false,
tvm,BLS_G2_ZERO,crypto,crypto_bls,false,false,
tvm,BLS_MAP_TO_G2,crypto,crypto_bls,false,false,
tvm,BLS_G2_INGROUP,crypto,crypto_bls,false,false,
tvm,BLS_G2_ISZERO,crypto,crypto_bls,false,false,
tvm,BLS_PAIRING,crypto,crypto_bls,false,false,
tvm,BLS_PUSHR,crypto,crypto_bls,false,false,
tvm,CDATASIZEQ,misc,,false,false,
tvm,CDATASIZE,misc,,false,false,
tvm,SDATASIZEQ,misc,,false,false,
tvm,SDATASIZE,misc,,false,false,
tvm,LDGRAMS,cell,cell_deserialize,false,false,
tvm,LDVARINT16,cell,cell_deserialize,false,false,
tvm,STGRAMS,cell,cell_serialize,false,false,
tvm,STVARINT16,cell,cell_serialize,false,false,
tvm,LDVARUINT32,cell,cell_deserialize,false,false,
tvm,LDVARINT32,cell,cell_deserialize,false,false,
tvm,STVARUINT32,cell,cell_serialize,false,false,
tvm,STVARINT32,cell,cell_serialize,false,false,
tvm,LDMSGADDR,cell,cell_deserialize,false,false,
tvm,LDMSGADDRQ,cell,cell_deserialize,false,false,
tvm,PARSEMSGADDR,address,,false,false,
tvm,PARSEMSGADDRQ,address,,false,false,
tvm,REWRITESTDADDR,address,,false,false,
tvm,REWRITESTDADDRQ,address,,false,false,
tvm,REWRITEVARADDR,address,,false,false,
tvm,REWRITEVARADDRQ,address,,false,false,
tvm,SENDRAWMSG,message,,false,false,
tvm,RAWRESERVE,message,,false,false,
tvm,RAWRESERVEX,message,,false,false,
tvm,SETCODE,message,,false,false,
tvm,SETLIBCODE,message,,false,false,
tvm,CHANGELIB,message,,false,false,
tvm,SENDMSG,message,,false,false,
tvm,PUSHNULL,tuple,,false,false,
tvm,ISNULL,tuple,,false,false,
tvm,TUPLEVAR,tuple,,false,false,
tvm,INDEXVAR,tuple,,false,false,
tvm,UNTUPLEVAR,tuple,,false,false,
tvm,UNPACKFIRSTVAR,tuple,,false,false,
tvm,EXPLODEVAR,tuple,,false,false,
tvm,SETINDEXVAR,tuple,,false,false,
tvm,INDEXVARQ,tuple,,false,false,
tvm,SETINDEXVARQ,tuple,,false,false,
tvm,TLEN,tuple,,false,false,
tvm,QTLEN,tuple,,false,false,
tvm,ISTUPLE,tuple,,false,false,
tvm,LAST,tuple,,false,false,
tvm,TPUSH,tuple,,false,false,
tvm,TPOP,tuple,,false,false,
tvm,NULLSWAPIF,tuple,,false,false,
tvm,NULLSWAPIFNOT,tuple,,false,false,
tvm,NULLROTRIF,tuple,,false,false,
tvm,NULLROTRIFNOT,tuple,,false,false,
tvm,NULLSWAPIF2,tuple,,false,false,
tvm,NULLSWAPIFNOT2,tuple,,false,false,
tvm,NULLROTRIF2,tuple,,false,false,
tvm,NULLROTRIFNOT2,tuple,,false,false,
tvm,ADDDIVMOD,arithmetic,div,false,false,
tvm,ADDDIVMODR,arithmetic,div,false,false,
tvm,ADDDIVMODC,arithmetic,div,false,false,
tvm,DIV,arithmetic,div,false,false,
tvm,DIVR,arithmetic,div,false,false,
tvm,DIVC,arithmetic,div,false,false,
tvm,MOD,arithmetic,div,false,false,
tvm,MODR,arithmetic,div,false,false,
tvm,MODC,arithmetic,div,false,false,
tvm,DIVMOD,arithmetic,div,false,false,
tvm,DIVMODR,arithmetic,div,false,false,
tvm,DIVMODC,arithmetic,div,false,false,
tvm,QADDDIVMOD,arithmetic,div,false,false,
tvm,QADDDIVMODR,arithmetic,div,false,false,
tvm,QADDDIVMODC,arithmetic,div,false,false,
tvm,QDIV,arithmetic,div,false,false,
tvm,QDIVR,arithmetic,div,false,false,
tvm,QDIVC,arithmetic,div,false,false,
tvm,QMOD,arithmetic,div,false,false,
tvm,QMODR,arithmetic,div,false,false,
tvm,QMODC,arithmetic,div,false,false,
tvm,QDIVMOD,arithmetic,div,false,false,
tvm,QDIVMODR,arithmetic,div,false,false,
tvm,QDIVMODC,arithmetic,div,false,false,
tvm,ADDRSHIFTMOD,arithmetic,div,false,false,
tvm,ADDRSHIFTMODR,arithmetic,div,false,false,
tvm,ADDRSHIFTMODC,arithmetic,div,false,false,
tvm,RSHIFTR,arithmetic,div,false,false,
tvm,RSHIFTC,arithmetic,div,false,false,
tvm,MODPOW2,arithmetic,div,false,false,
tvm,MODPOW2R,arithmetic,div,false,false,
tvm,MODPOW2C,arithmetic,div,false,false,
tvm,RSHIFTMOD,arithmetic,div,false,false,
tvm,RSHIFTMODR,arithmetic,div,false,false,
tvm,RSHIFTMODC,arithmetic,div,false,false,
tvm,QADDRSHIFTMOD,arithmetic,div,false,false,
tvm,QADDRSHIFTMODR,arithmetic,div,false,false,
tvm,QADDRSHIFTMODC,arithmetic,div,false,false,
tvm,QRSHIFTR,arithmetic,div,false,false,
tvm,QRSHIFTC,arithmetic,div,false,false,
tvm,QMODPOW2,arithmetic,div,false,false,
tvm,QMODPOW2R,arithmetic,div,false,false,
tvm,QMODPOW2C,arithmetic,div,false,false,
tvm,QRSHIFTMOD,arithmetic,div,false,false,
tvm,QRSHIFTMODR,arithmetic,div,false,false,
tvm,QRSHIFTMODC,arithmetic,div,false,false,
tvm,MULADDDIVMOD,arithmetic,div,false,false,
tvm,MULADDDIVMODR,arithmetic,div,false,false,
tvm,MULADDDIVMODC,arithmetic,div,false,false,
tvm,MULDIV,arithmetic,div,false,false,
tvm,MULDIVR,arithmetic,div,false,false,
tvm,MULDIVC,arithmetic,div,false,false,
tvm,MULMOD,arithmetic,div,false,false,
tvm,MULMODR,arithmetic,div,false,false,
tvm,MULMODC,arithmetic,div,false,false,
tvm,MULDIVMOD,arithmetic,div,false,false,
tvm,MULDIVMODR,arithmetic,div,false,false,
tvm,MULDIVMODC,arithmetic,div,false,false,
tvm,QMULADDDIVMOD,arithmetic,div,false,false,
tvm,QMULADDDIVMODR,arithmetic,div,false,false,
tvm,QMULADDDIVMODC,arithmetic,div,false,false,
tvm,QMULDIV,arithmetic,div,false,false,
tvm,QMULDIVR,arithmetic,div,false,false,
tvm,QMULDIVC,arithmetic,div,false,false,
tvm,QMULMOD,arithmetic,div,false,false,
tvm,QMULMODR,arithmetic,div,false,false,
tvm,QMULMODC,arithmetic,div,false,false,
tvm,QMULDIVMOD,arithmetic,div,false,false,
tvm,QMULDIVMODR,arithmetic,div,false,false,
tvm,QMULDIVMODC,arithmetic,div,false,false,
tvm,MULADDRSHIFTMOD,arithmetic,div,false,false,
tvm,MULADDRSHIFTRMOD,arithmetic,div,false,false,
tvm,MULADDRSHIFTCMOD,arithmetic,div,false,false,
tvm,MULRSHIFT,arithmetic,div,false,false,
tvm,MULRSHIFTR,arithmetic,div,false,false,
tvm,MULRSHIFTC,arithmetic,div,false,false,
tvm,MULMODPOW2,arithmetic,div,false,false,
tvm,MULMODPOW2R,arithmetic,div,false,false,
tvm,MULMODPOW2C,arithmetic,div,false,false,
tvm,MULRSHIFTMOD,arithmetic,div,false,false,
tvm,MULRSHIFTRMOD,arithmetic,div,false,false,
tvm,MULRSHIFTCMOD,arithmetic,div,false,false,
tvm,QMULADDRSHIFTMOD,arithmetic,div,false,false,
tvm,QMULADDRSHIFTRMOD,arithmetic,div,false,false,
tvm,QMULADDRSHIFTCMOD,arithmetic,div,false,false,
tvm,QMULRSHIFT,arithmetic,div,false,false,
tvm,QMULRSHIFTR,arithmetic,div,false,false,
tvm,QMULRSHIFTC,arithmetic,div,false,false,
tvm,QMULMODPOW2,arithmetic,div,false,false,
tvm,QMULMODPOW2R,arithmetic,div,false,false,
tvm,QMULMODPOW2C,arithmetic,div,false,false,
tvm,QMULRSHIFTMOD,arithmetic,div,false,false,
tvm,QMULRSHIFTRMOD,arithmetic,div,false,false,
tvm,QMULRSHIFTCMOD,arithmetic,div,false,false,
tvm,LSHIFTADDDIVMOD,arithmetic,div,false,false,
tvm,LSHIFTADDDIVMODR,arithmetic,div,false,false,
tvm,LSHIFTADDDIVMODC,arithmetic,div,false,false,
tvm,LSHIFTDIV,arithmetic,div,false,false,
tvm,LSHIFTDIVR,arithmetic,div,false,false,
tvm,LSHIFTDIVC,arithmetic,div,false,false,
tvm,LSHIFTMOD,arithmetic,div,false,false,
tvm,LSHIFTMODR,arithmetic,div,false,false,
tvm,LSHIFTMODC,arithmetic,div,false,false,
tvm,LSHIFTDIVMOD,arithmetic,div,false,false,
tvm,LSHIFTDIVMODR,arithmetic,div,false,false,
tvm,LSHIFTDIVMODC,arithmetic,div,false,false,
tvm,QLSHIFTADDDIVMOD,arithmetic,div,false,false,
tvm,QLSHIFTADDDIVMODR,arithmetic,div,false,false,
tvm,QLSHIFTADDDIVMODC,arithmetic,div,false,false,
tvm,QLSHIFTDIV,arithmetic,div,false,false,
tvm,QLSHIFTDIVR,arithmetic,div,false,false,
tvm,QLSHIFTDIVC,arithmetic,div,false,false,
tvm,QLSHIFTMOD,arithmetic,div,false,false,
tvm,QLSHIFTMODR,arithmetic,div,false,false,
tvm,QLSHIFTMODC,arithmetic,div,false,false,
tvm,QLSHIFTDIVMOD,arithmetic,div,false,false,
tvm,QLSHIFTDIVMODR,arithmetic,div,false,false,
tvm,QLSHIFTDIVMODC,arithmetic,div,false,false,
tvm,STIX,cell,cell_serialize,false,false,
tvm,STUX,cell,cell_serialize,false,false,
tvm,STIXR,cell,cell_serialize,false,false,
tvm,STUXR,cell,cell_serialize,false,false,
tvm,STIXQ,cell,cell_serialize,false,false,
tvm,STUXQ,cell,cell_serialize,false,false,
tvm,STIXRQ,cell,cell_serialize,false,false,
tvm,STUXRQ,cell,cell_serialize,false,false,
tvm,STILE4,cell,cell_serialize,false,false,
tvm,STULE4,cell,cell_serialize,false,false,
tvm,STILE8,cell,cell_serialize,false,false,
tvm,STULE8,cell,cell_serialize,false,false,
tvm,LDIX,cell,cell_deserialize,false,false,
tvm,LDUX,cell,cell_deserialize,false,false,
tvm,PLDIX,cell,cell_deserialize,false,false,
tvm,PLDUX,cell,cell_deserialize,false,false,
tvm,LDIXQ,cell,cell_deserialize,false,false,
tvm,LDUXQ,cell,cell_deserialize,false,false,
tvm,PLDIXQ,cell,cell_deserialize,false,false,
tvm,PLDUXQ,cell,cell_deserialize,false,false,
tvm,LDSLICEX,cell,cell_deserialize,false,false,
tvm,PLDSLICEX,cell,cell_deserialize,false,false,
tvm,LDSLICEXQ,cell,cell_deserialize,false,false,
tvm,PLDSLICEXQ,cell,cell_deserialize,false,false,
tvm,LDILE4,cell,cell_deserialize,false,false,
tvm,LDULE4,cell,cell_deserialize,false,false,
tvm,LDILE8,cell,cell_deserialize,false,false,
tvm,LDULE8,cell,cell_deserialize,false,false,
tvm,PLDILE4,cell,cell_deserialize,false,false,
tvm,PLDULE4,cell,cell_deserialize,false,false,
tvm,PLDILE8,cell,cell_deserialize,false,false,
tvm,PLDULE8,cell,cell_deserialize,false,false,
tvm,LDILE4Q,cell,cell_deserialize,false,false,
